month,day,hr,total_volume
2,18,16,3399
2,18,17,3529
2,18,18,3515
2,18,19,2140
2,18,20,1837
2,18,21,1530
2,18,22,1238
2,18,23,1041
2,18,24,875
2,19,1,636
2,19,2,593
2,19,3,501
2,19,4,491
2,19,5,570
2,19,6,848
2,19,7,1301
2,19,8,1928
2,19,9,2445
2,19,10,2148
2,19,11,2388
2,19,12,2427
2,19,13,2885
2,19,14,3077
2,19,15,3297
2,19,16,3323
2,19,17,3052
2,19,18,3272
2,19,19,2642
2,19,20,1828
2,19,21,1759
2,19,22,1372
2,19,23,1177
2,19,24,1106
2,20,1,669
2,20,2,568
2,20,3,558
2,20,4,537
2,20,5,538
2,20,6,787
2,20,7,1175
2,20,8,2110
2,20,9,2430
2,20,10,2769
2,20,11,2970
2,20,12,3086
2,20,13,3261
2,20,14,3477
2,20,15,3510
2,20,16,3605
2,20,17,3372
2,20,18,3341
2,20,19,2515
2,20,20,2096
2,20,21,1595
2,20,22,1339
2,20,23,1307
2,20,24,1075
2,21,1,809
2,21,2,685
2,21,3,568
2,21,4,583
2,21,5,544
2,21,6,656
2,21,7,754
2,21,8,1424
2,21,9,2119
2,21,10,2226
2,21,11,2494
2,21,12,2694
2,21,13,2861
2,21,14,3018
2,21,15,3219
2,21,16,3266
2,21,17,3120
2,21,18,2680
2,21,19,2261
2,21,20,1830
2,21,21,1611
2,21,22,1728
2,21,23,1854
2,21,24,1609
2,22,1,1445
2,22,2,999
2,22,3,817
2,22,4,776
2,22,5,615
2,22,6,613
2,22,7,751
2,22,8,1358
2,22,9,1583
2,22,10,1761
2,22,11,2258
2,22,12,2654
2,22,13,2985
2,22,14,3351
2,22,15,3634
2,22,16,3600
2,22,17,3304
2,22,18,3036
2,22,19,2329
2,22,20,2153
2,22,21,1610
2,22,22,1214
2,22,23,1196
2,22,24,995
2,23,1,672
2,23,2,532
2,23,3,486
2,23,4,531
2,23,5,656
2,23,6,1134
2,23,7,2172
2,23,8,2279
2,23,9,2226
2,23,10,2435
2,23,11,2705
2,23,12,2873
2,23,13,2936
2,23,14,2952
2,23,15,3287
2,23,16,3592
2,23,17,3575
2,23,18,3862
2,23,19,2869
2,23,20,1868
2,23,21,2023
2,23,22,1331
2,23,23,977
2,23,24,825
2,24,1,647
2,24,2,575
2,24,3,486
2,24,4,501
2,24,5,573
2,24,6,863
2,24,7,1443
2,24,8,1880
2,24,9,1964
2,24,10,2211
2,24,11,2152
2,24,12,2632
2,24,13,2892
2,24,14,2928
2,24,15,2918
2,24,16,3343
2,24,17,3854
2,24,18,3518
2,24,19,2078
2,24,20,1837
2,24,21,1648
2,24,22,1359
2,24,23,1183
2,24,24,947
2,25,1,656
2,25,2,527
2,25,3,490
2,25,4,488
2,25,5,591
2,25,6,903
2,25,7,1432
2,25,8,2209
2,25,9,2407
2,25,10,2322
2,25,11,2584
2,25,12,2933
2,25,13,3410
2,25,14,3489
2,25,15,3012
2,25,16,2795
2,25,17,1739
2,25,18,1230
2,25,19,781
2,25,20,844
2,25,21,741
2,25,22,571
2,25,23,650
2,25,24,590
2,26,1,490
2,26,2,432
2,26,3,457
2,26,4,459
2,26,5,470
2,26,6,678
2,26,7,920
2,26,8,1387
2,26,9,1966
2,26,10,2280
2,26,11,2188
2,26,12,2398
2,26,13,2840
2,26,14,3162
2,26,15,3177
2,26,16,3461
2,26,17,3601
2,26,18,3537
2,26,19,2784
2,26,20,1851
2,26,21,1584
2,26,22,1418
2,26,23,1177
2,26,24,1073
2,27,1,719
2,27,2,574
2,27,3,531
2,27,4,543
2,27,5,599
2,27,6,903
2,27,7,1361
2,27,8,2416
2,27,9,2505
2,27,10,2466
2,27,11,2693
2,27,12,3037
2,27,13,3472
2,27,14,3533
2,27,15,3547
2,27,16,3449
2,27,17,3059
2,27,18,3108
2,27,19,2563
2,27,20,2080
2,27,21,2066
2,27,22,1567
2,27,23,1606
2,27,24,1250
2,28,1,906
2,28,2,722
2,28,3,707
2,28,4,671
2,28,5,641
2,28,6,730
2,28,7,966
2,28,8,1888
2,28,9,2425
2,28,10,2485
2,28,11,2431
2,28,12,2647
2,28,13,2845
2,28,14,2735
2,28,15,2824
2,28,16,2833
2,28,17,2582
2,28,18,2748
2,28,19,2264
2,28,20,1711
2,28,21,1822
2,28,22,1569
2,28,23,1737
2,28,24,959
3,1,1,1175
3,1,2,839
3,1,3,715
3,1,4,722
3,1,5,568
3,1,6,590
3,1,7,773
3,1,8,1591
3,1,9,1986
3,1,10,2250
3,1,11,2725
3,1,12,2899
3,1,13,2933
3,1,14,3217
3,1,15,3208
3,1,16,3071
3,1,17,3185
3,1,18,2925
3,1,19,2194
3,1,20,1630
3,1,21,1356
3,1,22,1282
3,1,23,1174
3,1,24,838
3,2,1,664
3,2,2,518
3,2,3,504
3,2,4,435
3,2,5,529
3,2,6,1061
3,2,7,1987
3,2,8,2170
3,2,9,2252
3,2,10,2482
3,2,11,2801
3,2,12,3074
3,2,13,3110
3,2,14,3314
3,2,15,3300
3,2,16,3542
3,2,17,3599
3,2,18,3607
3,2,19,2451
3,2,20,2395
3,2,21,1580
3,2,22,1250
3,2,23,988
3,2,24,1025
3,3,1,730
3,3,2,556
3,3,3,508
3,3,4,524
3,3,5,562
3,3,6,1035
3,3,7,1733
3,3,8,1966
3,3,9,2097
3,3,10,2101
3,3,11,2617
3,3,12,2809
3,3,13,3265
3,3,14,3100
3,3,15,3420
3,3,16,3252
3,3,17,3270
3,3,18,3173
3,3,19,2658
3,3,20,2323
3,3,21,1636
3,3,22,1553
3,3,23,1378
3,3,24,977
3,4,1,698
3,4,2,580
3,4,3,527
3,4,4,490
3,4,5,554
3,4,6,858
3,4,7,1547
3,4,8,2199
3,4,9,2288
3,4,10,2397
3,4,11,2915
3,4,12,2862
3,4,13,2996
3,4,14,3029
3,4,15,3349
3,4,16,3380
3,4,17,3625
3,4,18,3688
3,4,19,3071
3,4,20,2252
3,4,21,1919
3,4,22,1458
3,4,23,1223
3,4,24,1148
3,5,1,695
3,5,2,577
3,5,3,510
3,5,4,524
3,5,5,631
3,5,6,1042
3,5,7,1603
3,5,8,2321
3,5,9,2332
3,5,10,2325
3,5,11,2755
3,5,12,2968
3,5,13,3403
3,5,14,3375
3,5,15,3288
3,5,16,3555
3,5,17,3683
3,5,18,3504
3,5,19,2791
3,5,20,2112
3,5,21,1633
3,5,22,1368
3,5,23,1147
3,5,24,930
3,6,1,695
3,6,2,633
3,6,3,567
3,6,4,552
3,6,5,641
3,6,6,845
3,6,7,1404
3,6,8,2604
3,6,9,2440
3,6,10,2434
3,6,11,2769
3,6,12,3197
3,6,13,3622
3,6,14,3442
3,6,15,3614
3,6,16,3649
3,6,17,3428
3,6,18,3709
3,6,19,3423
3,6,20,2107
3,6,21,2126
3,6,22,1818
3,6,23,1839
3,6,24,1434
3,7,1,1016
3,7,2,950
3,7,3,784
3,7,4,777
3,7,5,740
3,7,6,873
3,7,7,1347
3,7,8,2475
3,7,9,2812
3,7,10,2785
3,7,11,2775
3,7,12,2748
3,7,13,3009
3,7,14,2863
3,7,15,2966
3,7,16,2734
3,7,17,2365
3,7,18,2813
3,7,19,2202
3,7,20,1905
3,7,21,1825
3,7,22,1663
3,7,23,1509
3,7,24,1298
3,8,1,1068
3,8,2,828
3,8,3,564
3,8,4,842
3,8,5,803
3,8,6,722
3,8,7,841
3,8,8,1126
3,8,9,1961
3,8,10,2359
3,8,11,2455
3,8,12,2692
3,8,13,2814
3,8,14,3259
3,8,15,3143
3,8,16,3193
